,Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
23903,2020-05-14,Canada,Alberta,6457,,121
23904,2020-05-15,Canada,Alberta,6515,,125
23905,2020-05-16,Canada,Alberta,6587,,126
23906,2020-05-17,Canada,Alberta,6644,,127
23907,2020-05-18,Canada,Alberta,6683,,128
23908,2020-05-19,Canada,Alberta,6716,,128
23909,2020-05-20,Canada,Alberta,6735,,128
23910,2020-05-21,Canada,Alberta,6768,,132
23911,2020-05-22,Canada,Alberta,6800,,134
23912,2020-05-23,Canada,Alberta,6818,,135
23913,2020-05-24,Canada,Alberta,6860,,135
23914,2020-05-25,Canada,Alberta,6879,,138
23915,2020-05-26,Canada,Alberta,6901,,139
23916,2020-05-27,Canada,Alberta,6926,,141
23917,2020-05-28,Canada,Alberta,6955,,143
23918,2020-05-29,Canada,Alberta,6979,,143
23919,2020-05-30,Canada,Alberta,6992,,143
23920,2020-05-31,Canada,Alberta,7010,,143
23921,2020-06-01,Canada,Alberta,7044,,143
23922,2020-06-02,Canada,Alberta,7057,,143
23923,2020-06-03,Canada,Alberta,7076,,145
23924,2020-06-04,Canada,Alberta,7091,,146
23925,2020-06-05,Canada,Alberta,7098,,146
23926,2020-06-06,Canada,Alberta,7138,,146
23927,2020-06-07,Canada,Alberta,7138,,146
23928,2020-06-08,Canada,Alberta,7202,,149
23929,2020-06-09,Canada,Alberta,7229,,151
23930,2020-06-10,Canada,Alberta,7276,,151
23931,2020-06-11,Canada,Alberta,7316,,149
23932,2020-06-12,Canada,Alberta,7346,,149
23933,2020-06-13,Canada,Alberta,7383,,150
23934,2020-06-14,Canada,Alberta,7433,,150
23935,2020-06-15,Canada,Alberta,7453,,151
23936,2020-06-16,Canada,Alberta,7482,,151
23937,2020-06-17,Canada,Alberta,7530,,151
23938,2020-06-18,Canada,Alberta,7579,,152
23939,2020-06-19,Canada,Alberta,7625,,152
23940,2020-06-20,Canada,Alberta,7673,,152
23941,2020-06-21,Canada,Alberta,7704,,152
23942,2020-06-22,Canada,Alberta,7736,,153
23943,2020-06-23,Canada,Alberta,7781,,153
23944,2020-06-24,Canada,Alberta,7825,,153
23945,2020-06-25,Canada,Alberta,7851,,154
23946,2020-06-26,Canada,Alberta,7888,,154
23947,2020-06-27,Canada,Alberta,7957,,154
23948,2020-06-28,Canada,Alberta,7996,,154
23949,2020-06-29,Canada,Alberta,8067,,154
23950,2020-06-30,Canada,Alberta,8108,,154
23951,2020-07-01,Canada,Alberta,8108,,154
23952,2020-07-02,Canada,Alberta,8202,,155
23953,2020-07-03,Canada,Alberta,8259,,155
23954,2020-07-04,Canada,Alberta,8259,,155
23955,2020-07-05,Canada,Alberta,8259,,155
23956,2020-07-06,Canada,Alberta,8389,,155
23957,2020-07-07,Canada,Alberta,8436,,157
23958,2020-07-08,Canada,Alberta,8482,,158
23959,2020-07-09,Canada,Alberta,8519,,161
23960,2020-07-10,Canada,Alberta,8596,,161
23961,2020-07-11,Canada,Alberta,8596,,160
23962,2020-07-12,Canada,Alberta,8596,,160
23963,2020-07-13,Canada,Alberta,8826,,161
23964,2020-07-14,Canada,Alberta,8912,,163
23965,2020-07-15,Canada,Alberta,8994,,163
23966,2020-07-16,Canada,Alberta,9114,,165
23967,2020-07-17,Canada,Alberta,9219,,167
23968,2020-07-18,Canada,Alberta,9219,,167
23969,2020-07-19,Canada,Alberta,9219,,167
23970,2020-07-20,Canada,Alberta,9587,,170
23971,2020-07-21,Canada,Alberta,9728,,172
23972,2020-07-22,Canada,Alberta,9728,,172
23973,2020-07-23,Canada,Alberta,9975,,176
23974,2020-07-24,Canada,Alberta,10086,,178
23975,2020-07-25,Canada,Alberta,10086,,178
23976,2020-07-26,Canada,Alberta,10086,,178
23977,2020-07-27,Canada,Alberta,10390,,186
23978,2020-07-28,Canada,Alberta,10470,,187
23979,2020-07-29,Canada,Alberta,10603,,190
23980,2020-07-30,Canada,Alberta,10716,,195
23981,2020-07-31,Canada,Alberta,10843,,196
23982,2020-08-01,Canada,Alberta,10843,,196
23983,2020-08-02,Canada,Alberta,10843,,196
23984,2020-08-03,Canada,Alberta,10843,,196
23985,2020-08-04,Canada,Alberta,11146,,201
23986,2020-08-05,Canada,Alberta,11240,,203
23987,2020-08-06,Canada,Alberta,11296,,205
23988,2020-08-07,Canada,Alberta,11430,,208
23989,2020-08-08,Canada,Alberta,11430,,208
23990,2020-08-09,Canada,Alberta,11430,,208
23991,2020-08-10,Canada,Alberta,11687,,213
23992,2020-08-11,Canada,Alberta,11772,,216
23993,2020-08-12,Canada,Alberta,11893,,217
23994,2020-08-13,Canada,Alberta,11969,,220
23995,2020-08-14,Canada,Alberta,12053,,221
23996,2020-08-15,Canada,Alberta,12053,,221
23997,2020-08-16,Canada,Alberta,12053,,221
23998,2020-08-17,Canada,Alberta,12053,,221
23999,2020-08-18,Canada,Alberta,12419,,225
24000,2020-08-19,Canada,Alberta,12501,,227
24001,2020-08-20,Canada,Alberta,12501,,227
24002,2020-08-21,Canada,Alberta,12748,,230
24003,2020-08-22,Canada,Alberta,12748,,230
24004,2020-08-23,Canada,Alberta,12748,,230
24005,2020-08-24,Canada,Alberta,13006,,234
24006,2020-08-25,Canada,Alberta,13083,,235
24007,2020-08-26,Canada,Alberta,13210,,235
24008,2020-08-27,Canada,Alberta,13318,,237
24009,2020-08-28,Canada,Alberta,13476,,237
24010,2020-08-29,Canada,Alberta,13476,,237
24011,2020-08-30,Canada,Alberta,13476,,237
24012,2020-08-31,Canada,Alberta,13902,,239
24013,2020-09-01,Canada,Alberta,14066,,241
24014,2020-09-02,Canada,Alberta,14180,,242
24015,2020-09-03,Canada,Alberta,14310,,242
24016,2020-09-04,Canada,Alberta,14474,,242
24017,2020-09-05,Canada,Alberta,14474,,242
24018,2020-09-06,Canada,Alberta,14474,,242
24019,2020-09-07,Canada,Alberta,14474,,242
24020,2020-09-08,Canada,Alberta,15093,,247
24021,2020-09-09,Canada,Alberta,15093,,247
24022,2020-09-10,Canada,Alberta,15304,,253
24023,2020-09-11,Canada,Alberta,15415,,253
24024,2020-09-12,Canada,Alberta,15415,,253
24025,2020-09-13,Canada,Alberta,15415,,253
